*	VF1	VF2
0	0.631005854503749	2.88296363548898
0.000500000000002387	0.627986815405748	2.71766471462231
0.00100000000000477	0.623323280754319	2.48544786906892
0.00150000000000716	0.616562297691574	2.19203104824991
0.00200000000000955	0.6068131120091	1.84463914808851
0.00250000000001194	0.592104822163893	1.4518261100944
0.00300000000001432	0.566675165290257	1.02326429493481
0.00350000000001671	0.495384498655561	0.569506316814195
0.00377021258699983	0.317822400109621	0.31771730233627
0.00400571480518153	0.0954265440962212	0.0963420623530702
0.00405921631804063	0.0460224284053094	0.0459328470522996
0.00412560819689389	-0.0165375802132766	-0.0166381444858961
0.00420891742395924	-0.0950341941761161	-0.0951393719803549
0.00434825066321309	-0.226035465859085	-0.226258762234201
0.00462691714172081	-0.455466689443308	-0.486946811803564
0.00491216843494158	-0.534270573033364	-0.749915785527429
0.00514620893323325	-0.560129722741486	-0.961272570232739
0.00537474310598895	-0.575832844404051	-1.16265271518971
0.0057044482462274	-0.591102599658795	-1.44236434344666
0.00620444824622979	-0.606172624905106	-1.83610893617218
0.00670444824623218	-0.616122317076161	-2.18464243319252
0.00720444824623456	-0.623016891624164	-2.47938278309459
0.00770444824623695	-0.627777963389249	-2.7130725002766
0.00820444824623934	-0.630879378569642	-2.87995736832976
0.00870444824624173	-0.632572169301393	-2.97592812794346
0.00920444824624411	-0.632978668487168	-2.99862166050727
0.0097044482462465	-0.632123102426017	-2.94747917593397
0.0102044482462489	-0.629950648423643	-2.82375997192592
0.0107044482462513	-0.626297456344484	-2.63051042588635
0.0112044482462537	-0.620849440365499	-2.37248898299725
0.011704448246256	-0.613012134639085	-2.05604898750669
0.0122044482462584	-0.601580938053447	-1.68898224230787
0.0127044482462608	-0.583638426064163	-1.28032714889234
0.0132044482462632	-0.548751992543753	-0.840146151908583
0.0137044482462656	-0.378602220433162	-0.379277968379425
0.0139110237886371	-0.184443022410309	-0.185484430811986
0.0140104581061706	-0.0919161641664004	-0.0918738069863662
0.014112598591268	0.00427916677856092	0.00437696378766081
0.0141912280422289	0.0783716500336142	0.0784745248650138
0.0143484869441579	0.226258005223507	0.22648081690686
0.0146630047480159	0.472681244196322	0.520475532724136
0.0149462110673682	0.539050025271419	0.780938150078054
0.0151929393510599	0.563860736029717	1.00288769375933
0.0154270550380957	0.578701793498242	1.20794339940241
0.01578894185716	0.594173352583046	1.51167347742814
0.0162889418571623	0.608133321925035	1.89843112733634
0.0167889418571647	0.617468157356676	2.23844310235737
0.0172889418571671	0.623954405059544	2.52333717923111
0.0177889418571695	0.628409679011919	2.74609832027562
0.0182889418571719	0.631259686440122	2.90124140689649
0.0187889418571743	0.632729242404711	2.98494630141069
0.0192889418571767	0.632922998062625	2.99515191151465
0.0197889418571791	0.631851471239209	2.93160694121712
0.0202889418571814	0.629443736384791	2.79587607858051
0.0207889418571838	0.62551455583435	2.59130146790788
0.0212889418571862	0.619715262163481	2.32292041505824
0.0217889418571886	0.611380795510097	1.99734135225845
0.022288941857191	0.599134594589512	1.62258111656969
0.0227889418571934	0.579489244187329	1.20786754875262
0.0232889418571958	0.538485942912959	0.763412273202405
0.0236295839341878	0.435341211130342	0.449158418119206
0.0238481456884756	0.243543806593692	0.24459223174331
0.0239479335002386	0.150651205986655	0.150752708925224
0.024059855562065	0.0454233530270694	0.0453304434553661
0.0242085162187777	-0.0946584555878688	-0.0947614344406338
0.0244864008545136	-0.353194013281356	-0.355837595592558
0.0247878119361005	-0.511656910579383	-0.635890032303455
0.025027059120255	-0.548796381471864	-0.85424889243343
0.0253266837196477	-0.572989916725165	-1.12076675476341
0.025592923573754	-0.586599788088379	-1.34933409404529
0.026056746632257	-0.602401811399288	-1.7240842698835
0.0265567466322594	-0.613561736314892	-2.08692074168495
0.0270567466322618	-0.621232250521707	-2.39837029873277
0.0275567466322642	-0.626559950546847	-2.65076401929057
0.0280567466322665	-0.630118108764847	-2.8378871323114
0.0285567466322689	-0.632209549412994	-2.95513204572665
0.0290567466322713	-0.632988556430283	-2.99961180065444
0.0295567466322737	-0.632508737573064	-2.9702311579086
0.0300567466322761	-0.630736780500141	-2.86771356642231
0.0305567466322785	-0.627546655212882	-2.69458334953435
0.0310567466322809	-0.622673021139003	-2.45510354777081
0.0315567466322833	-0.615629458813976	-2.15517094863904
0.0320567466322856	-0.605449001392704	-1.80217088814896
0.032556746632288	-0.589945056786432	-1.40479539932997
0.0330567466322904	-0.562409567442874	-0.972829185530514
