0,-1.4,0
3.7379e-07,-1.4,5.0238e-05
7.4759e-07,-1.4,0.00010048
1.1214e-06,-1.4,0.00015071
1.4952e-06,-1.4,0.00020095
3.3641e-06,-1.4,0.00045214
5.2331e-06,-1.4,0.00070333
7.1021e-06,-1.4,0.00095451
8.971e-06,-1.4,0.0012057
1.8316e-05,-1.4,0.0024616
2.7661e-05,-1.4,0.0037175
3.7005e-05,-1.4,0.0049734
4.635e-05,-1.4,0.0062293
9.3074e-05,-1.4,0.012509
0.0001398,-1.4,0.018788
0.00018652,-1.4,0.025066
0.00023325,-1.4,0.031345
0.00046687,-1.4,0.062732
0.00070049,-1.4,0.09411
0.00093411,-1.3999,0.12548
0.0011677,-1.3999,0.15684
0.0023358,-1.3996,0.31349
0.0035039,-1.3992,0.46983
0.004672,-1.3985,0.6258
0.0058401,-1.3977,0.78133
0.011681,-1.3909,1.5505
0.017521,-1.3796,2.3
0.023362,-1.3641,3.023
0.029202,-1.3444,3.7134
0.039921,-1.2982,4.8788
0.050639,-1.2404,5.8929
0.061358,-1.1725,6.7428
0.072076,-1.0964,7.4268
0.085162,-0.99489,8.0494
0.098249,-0.88664,8.4645
0.11134,-0.77411,8.7069
0.12442,-0.65933,8.8152
0.14057,-0.51682,8.8208
0.15671,-0.37497,8.7384
0.17286,-0.23483,8.6131
0.18901,-0.096892,8.4748
0.2132,0.10564,8.2742
0.2374,0.30354,8.0736
0.2616,0.4961,7.8192
0.2858,0.68074,7.4124
0.3064,0.82832,6.8509
0.327,0.96138,6.0103
0.3476,1.0736,4.8477
0.36821,1.1587,3.3685
0.38371,1.2012,2.0823
0.39922,1.223,0.71306
0.41473,1.2232,-0.67085
0.43024,1.2023,-2.0002
0.44575,1.1617,-3.2091
0.46125,1.1037,-4.2479
0.47676,1.0311,-5.0888
0.49227,0.94688,-5.7266
0.50744,0.85644,-6.1672
0.52261,0.76055,-6.4499
0.53778,0.66139,-6.603
0.55296,0.56068,-6.6574
0.57165,0.43634,-6.6323
0.59035,0.31307,-6.5459
0.60904,0.19171,-6.4314
0.62774,0.072614,-6.3106
0.65529,-0.098786,-6.1413
0.68283,-0.26574,-5.9749
0.71038,-0.42775,-5.7722
0.73793,-0.58282,-5.4649
0.76194,-0.70956,-5.0437
0.78596,-0.82372,-4.4212
